seed,fold,protocol,accuracy,precision,recall,f1,auc,pr_auc,mcc
123,1,Frozen,0.8208191126279863,0.8719723183391004,0.8842105263157894,0.8780487804878049,0.8783625730994151,0.955763244800919,0.5406764012985475
123,1,Fine-tuned,0.8310580204778157,0.9080745341614906,0.8549707602339182,0.880722891566265,0.8960023613186489,0.9628464566400496,0.5953130479332598
123,2,Frozen,0.8104184457728437,0.8599088838268792,0.8840749414519906,0.871824480369515,0.8650551496391078,0.9468205805837961,0.5088780766870066
123,2,Fine-tuned,0.8215200683176772,0.8947368421052632,0.8559718969555035,0.8749251944943148,0.8891761907224494,0.9565217391083554,0.5656698704187281
123,3,Frozen,0.802732707087959,0.8775757575757576,0.8477751756440282,0.8624181060154854,0.8555877333609143,0.9446332370352262,0.5153273201354852
123,3,Fine-tuned,0.8121263877028181,0.8819277108433735,0.8571428571428571,0.8693586698337292,0.8696023168019857,0.9506422170646897,0.5359430006641022
123,4,Frozen,0.8129803586678053,0.9108527131782945,0.8245614035087719,0.8655616942909761,0.8759715745058849,0.9545384945826263,0.5684362852422188
123,4,Fine-tuned,0.8087105038428694,0.8958594730238394,0.8350877192982457,0.864406779661017,0.8773928492116366,0.9550538980264205,0.5449838558680901
123,5,Frozen,0.8018787361229718,0.8457269700332963,0.8912280701754386,0.8678815489749431,0.8638056110740988,0.9486347720441509,0.47566395713610604
123,5,Fine-tuned,0.8138343296327925,0.8907975460122699,0.8491228070175438,0.8694610778443114,0.8797172255533348,0.9501501780894466,0.547609837196152
